3M,MMM
American Express,AXP
Apple Inc.,AAPL
Boeing,BA
Caterpillar Inc.,CAT
Chevron Corporation,CVX
Cisco Systems,CSCO
The Coca-Cola Company,KO
DuPont,DD
ExxonMobil,XOM
General Electric,GE
Goldman Sachs,GS
The Home Depot,HD
Intel,INTC
IBM,IBM
Johnson  & Johnson,JNJ
JPMorgan Chase,JPM
McDonald's,MCD
Merck  & Co.,MRK
Microsoft,MSFT
"Nike, Inc.",NKE
Pfizer,PFE
Procter  & Gamble,PG
The Travelers Companies,TRV
UnitedHealth Group,UNH
United Technologies Corporation,UTX
Verizon Communications,VZ
Visa Inc.,V
Walmart,WMT
The Walt Disney Company,DIS
